species,paper_title,title_abstract,hosts_natural,hosts_experimental,hosts_not_in_text,hosts_not_in_text_corrected
Paramicrosporidium vannellae,Microsporidia-like Parasites of Amoebae Belong to the Early Fungal Lineage Rozellomycota,"Microsporidia-like Parasites of Amoebae Belong to the Early Fungal Lineage Rozellomycota ::: Molecular phylogenies based on the small subunit ribosomal RNA gene (SSU or 18S ribosomal DNA (rDNA)) revealed recently the existence of a relatively large and widespread group of eukaryotes, branching at the base of the fungal tree. This group, comprising almost exclusively environmental clones, includes the endoparasitic chytrid Rozella as the unique known representative. Rozella emerged as the first fungal lineage in molecular phylogenies and as the sister group of the Microsporidia. Here we report rDNA molecular phylogenetic analyses of two endonuclear parasites of free-living naked amoebae having microsporidia-like ultrastructural features but belonging to the rozellids. Similar to microsporidia, these endoparasites form unflagellated walled spores and grow inside the host cells as unwalled nonphagotrophic meronts. Our endonuclear parasites are microsporidia-like rozellids, for which we propose the name Paramicrosporidium, appearing to be the until now lacking morphological missing link between Fungi and Microsporidia. These features contrast with the recent description of the rozellids as an intermediate wall-less lineage of organisms between protists and true Fungi. We thus reconsider the rozellid clade as the most basal fungal lineage, naming it Rozellomycota.",Vannella sp.,NA,Vannella sp.,NA
Parathelohania costatus,Experimental study of the transmission of microsporidians in bloodsucking mosquitoes from the southern part of West Siberia,Experimental study of the transmission of microsporidians in bloodsucking mosquitoes from the southern part of West Siberia,Aedes punctor; Aedes diantaeus; Aedes excrucians,NA,Aedes punctor; Aedes diantaeus; Aedes excrucians,NA
Parathelohania detinovae,New microsporidian species of the blood sucking mosquitoes from the northern Ukraine,"New microsporidian species of the blood sucking mosquitoes from the northern Ukraine ::: Six species of microsporidia from Parathelohania and Amblyospora genera have been detected among 7 species of blood sucking mosquitoes from Anopheles and Aedes genera with the use of light and electron microscopes. Three species, namely P. detinovae from the A. maculipennis, P. issiae from the A. claviger and A. theophanica from the A. annulipes are new for science. Mononuclear spores of P. detinovae sp. n. 5,0-6,0 X 3,2-3,6 mkm (fresh), lamellar polaroplast; anisophillar polar tube with 6-8 coins, 2 of them belongs to basal section. Mononuclear spores of P. issiae sp.n. 4,8-5,0 X 2,8-3,8 mkm (fresh); lamellar polaroplast; anisophillar polar tube with 5 (5-6) coins, 3 (2-3) of them belonging to basal part. Mononuclear spores of A. theophanica sp. n.: 6,0-6,8 X 4,4-5,0 mkm (fresh), formed by 8. Sporophorous vesicles containing tubular and lamellar metabolic granules. Mucocalyx is absent. Exospore thinner then endospore. Polaroplast lamellar. Anisophillar polar tube with 8 (7,5-8) coins, 4 of them belonging to basal section. Microsporidian A. excruci from the A. c. cinereus, A. puctor from the A. punctor and A. c. cincreus, A. inimica from the A. c. caspius are new for the territory of Ukraine.",Anopheles maculipennis,NA,Anopheles maculipennis,NA
Parathelohania divulgata (1),Microsporidia of the genus Parahtelohania (Microspora: Amblyosporidae) from blood-sucking mosquitoes of the genus Anopeles (Diptera: Culicidae) from the South of the West Siberia,"Microsporidia of the genus Parahtelohania (Microspora: Amblyosporidae) from blood-sucking mosquitoes of the genus Anopeles (Diptera: Culicidae) from the South of the West Siberia ::: Five new microsporidian species of the genus Parathelohania have been found in the fat body of blood-sucking mosquitoes collected in various water basins in the South of West Siberia: Parathelohania divulgata sp. n., P. formosa sp. n., P. sibirika sp. n., P. teguldeti sp. n., and P. tomski sp. n. Processes of merogony, sporogony, and ultrastructure of spores was were investigated by means light and electronic microscopy.",Anopheles messeae,NA,Anopheles messeae,NA
Parathelohania formosa (1),Microsporidia of the genus Parahtelohania (Microspora: Amblyosporidae) from blood-sucking mosquitoes of the genus Anopeles (Diptera: Culicidae) from the South of the West Siberia,"Microsporidia of the genus Parahtelohania (Microspora: Amblyosporidae) from blood-sucking mosquitoes of the genus Anopeles (Diptera: Culicidae) from the South of the West Siberia ::: Five new microsporidian species of the genus Parathelohania have been found in the fat body of blood-sucking mosquitoes collected in various water basins in the South of West Siberia: Parathelohania divulgata sp. n., P. formosa sp. n., P. sibirika sp. n., P. teguldeti sp. n., and P. tomski sp. n. Processes of merogony, sporogony, and ultrastructure of spores was were investigated by means light and electronic microscopy.",Anopheles messeae,NA,Anopheles messeae,NA
Parathelohania issiae,New microsporidian species of the blood sucking mosquitoes from the northern Ukraine,"New microsporidian species of the blood sucking mosquitoes from the northern Ukraine ::: Six species of microsporidia from Parathelohania and Amblyospora genera have been detected among 7 species of blood sucking mosquitoes from Anopheles and Aedes genera with the use of light and electron microscopes. Three species, namely P. detinovae from the A. maculipennis, P. issiae from the A. claviger and A. theophanica from the A. annulipes are new for science. Mononuclear spores of P. detinovae sp. n. 5,0-6,0 X 3,2-3,6 mkm (fresh), lamellar polaroplast; anisophillar polar tube with 6-8 coins, 2 of them belongs to basal section. Mononuclear spores of P. issiae sp.n. 4,8-5,0 X 2,8-3,8 mkm (fresh); lamellar polaroplast; anisophillar polar tube with 5 (5-6) coins, 3 (2-3) of them belonging to basal part. Mononuclear spores of A. theophanica sp. n.: 6,0-6,8 X 4,4-5,0 mkm (fresh), formed by 8. Sporophorous vesicles containing tubular and lamellar metabolic granules. Mucocalyx is absent. Exospore thinner then endospore. Polaroplast lamellar. Anisophillar polar tube with 8 (7,5-8) coins, 4 of them belonging to basal section. Microsporidian A. excruci from the A. c. cinereus, A. puctor from the A. punctor and A. c. cincreus, A. inimica from the A. c. caspius are new for the territory of Ukraine.",Anopheles claviger,NA,Anopheles claviger,NA
Parathelohania sibirika (1),Microsporidia of the genus Parahtelohania (Microspora: Amblyosporidae) from blood-sucking mosquitoes of the genus Anopeles (Diptera: Culicidae) from the South of the West Siberia,"Microsporidia of the genus Parahtelohania (Microspora: Amblyosporidae) from blood-sucking mosquitoes of the genus Anopeles (Diptera: Culicidae) from the South of the West Siberia ::: Five new microsporidian species of the genus Parathelohania have been found in the fat body of blood-sucking mosquitoes collected in various water basins in the South of West Siberia: Parathelohania divulgata sp. n., P. formosa sp. n., P. sibirika sp. n., P. teguldeti sp. n., and P. tomski sp. n. Processes of merogony, sporogony, and ultrastructure of spores was were investigated by means light and electronic microscopy.",Anopheles messeae,NA,Anopheles messeae,NA
Parathelohania teguldeti (1),Microsporidia of the genus Parahtelohania (Microspora: Amblyosporidae) from blood-sucking mosquitoes of the genus Anopeles (Diptera: Culicidae) from the South of the West Siberia,"Microsporidia of the genus Parahtelohania (Microspora: Amblyosporidae) from blood-sucking mosquitoes of the genus Anopeles (Diptera: Culicidae) from the South of the West Siberia ::: Five new microsporidian species of the genus Parathelohania have been found in the fat body of blood-sucking mosquitoes collected in various water basins in the South of West Siberia: Parathelohania divulgata sp. n., P. formosa sp. n., P. sibirika sp. n., P. teguldeti sp. n., and P. tomski sp. n. Processes of merogony, sporogony, and ultrastructure of spores was were investigated by means light and electronic microscopy.",Anopheles beklemishevi,NA,Anopheles beklemishevi,NA
Parathelohania tomski (1),Microsporidia of the genus Parahtelohania (Microspora: Amblyosporidae) from blood-sucking mosquitoes of the genus Anopeles (Diptera: Culicidae) from the South of the West Siberia,"Microsporidia of the genus Parahtelohania (Microspora: Amblyosporidae) from blood-sucking mosquitoes of the genus Anopeles (Diptera: Culicidae) from the South of the West Siberia ::: Five new microsporidian species of the genus Parathelohania have been found in the fat body of blood-sucking mosquitoes collected in various water basins in the South of West Siberia: Parathelohania divulgata sp. n., P. formosa sp. n., P. sibirika sp. n., P. teguldeti sp. n., and P. tomski sp. n. Processes of merogony, sporogony, and ultrastructure of spores was were investigated by means light and electronic microscopy.",Anopheles messeae,NA,Anopheles messeae,NA
Pleistophora atretii,"A New Microsporidian, Pleistophora Atretii Sp. n. from the Fresh Water Snake, Atretium Schistosum Günther","A New Microsporidian, Pleistophora Atretii Sp. n. from the Fresh Water Snake, Atretium Schistosum Günther",Atretium schistosum,NA,Atretium schistosum,NA
Pleistophora beebei,"New microsporidia, Glugea sardinellensis n sp (Microsporea, Glugeida) found in Sardinella aurita Valenciennes, 1847, collected off Tunisian coasts","New microsporidia, Glugea sardinellensis n sp (Microsporea, Glugeida) found in Sardinella aurita Valenciennes, 1847, collected off Tunisian coasts ::: A new microsporidia Glugea sardinellensis n. sp. found in the teleost fish Sardinella aurita Valenciennes collected from the Tunisian coasts. The parasite develops in a large xenomas measuring 1–16 mm in diameter and is generally visible with naked eye in the connective tissue around the pyloric caeca of the host. Xenoma were often rounded, but would be occasionally ovoid or irregular shape, generally creamy but rarely opaque, and filled with mature spores. The spores were unikaryotic pyriform measuring 5–5.5 (5.25±0.24) µm in length and 2.5–3 (2.75±0.24) µm in width. The posterior vacuole was large and occupied more than half of the spore. Ultrastructural study indicated that the mature spore has 13–14 coils of polar filament arranged in one layer, and a rough exospore. Intermediate stages were rare and randomly distributed in the xenoma. Merogonial and sporogonial stages were uni or binucleate. The plasma membrane surrounding the meront was irregular and indented. The mean prevalence was 18.3% and it varied according to season and locality. The distribution of prevalence according to fish size indicated that small fish were primarily affected. Phylogenetic analysis using the partial sequence of the SSU rDNA showed consistent association with species of the genusGlugea. The most closely related species was Glugea atherinae Berrebi, 1979 with 98.5% similarity.",Brachyhypopomus beebei,NA,Brachyhypopomus beebei,NA
Pleistophora duodecimae,Two Microsporidian Parasites Found in Marine Fishes in the Atlantic Ocean,"Two Microsporidian Parasites Found in Marine Fishes in the Atlantic Ocean ::: Two new species of microsporidia are reported from the Atlantic marine fishes: Pleistophora duodecimae sp. n. from skeletal musculature of the rat-tail, Coryphaenoides nasulus Gunther and Glugea capverdensis sp. n. from the intestine, mesentery and ovary of the lantern fish, Myctophum punctatum Rafinesque. Formation of secondary xenomas was observed in the latter species. Both species may inflict serious damage upon their hosts.",Coryphaenoides nasutus,NA,Coryphaenoides nasutus,NA
Pleistophora oncoperae,Pleistophora oncoperae sp.n. (Protozoa: Microsporida) from Oncopera alboguttata (Lepidoptera: Hepialidae) in Australia,"Pleistophora oncoperae sp.n. (Protozoa: Microsporida) from Oncopera alboguttata (Lepidoptera: Hepialidae) in Australia ::: Pleistophora oncoperae sp.n. is described from adults and larvae of Oncopera alboguttata and O. rufobrunnea. The main site of infection was muscle, though fat body and connective tissue were also infected. Fresh pansporoblasts measured about 25 μm in diameter and contained 16 to 32 or more spores with a mean size of 5.9 × 3.1 μm. Macrospores measuring 7.7 × 4.4 μm were also seen. The mean polar filament length was 158 μm; ultrastructural studies showed that the filament is normally arranged in 14 coils (range, 13 to 20) at an angle of 53.5° to the axis of the spore. The species was found to be distinct from all previously described Pleistophora reported from Lepidoptera.",Oncopera alboguttata; Oncopera rufobrunnea,NA,Oncopera rufobrunnea,NA
Pleistophora oribatei,"Eight New Microsporidian Parasites of Moss-Mites (Oribatei, Acarina) in Forest Soils","Eight New Microsporidian Parasites of Moss-Mites (Oribatei, Acarina) in Forest Soils ::: Four new species of the genus Pleistophora (P. oribatei, P. cephei, P. platynothri, and P. dindali), one of Thelohania (Th. microtritiae), and three of Nosema (N. steganacari, N. acari, and N. führeri) are discovered and described from mossmites (Oribatei, Acarina) in forest soil samples from Lower Saxony and Hessen (Federal Republic of Germany). Acht neue Mikrosporidien‐Arten aus Hornmilben (Oribatei, Acarina) aus Waldböden Im Rahmen einer vergleichenden Bodentieruntersuchung wurden in verschiedenen Waldstandorten Niedersachsens und Hessens 62 Hornmilbenarten festgestellt, von denen 12 Arten mit Mikrosporidien infiziert waren. Diese gehören acht verschiedenen Species an, die hier als neue Arten beschrieben werden: Pleistophora oribatei n. sp. in verschiedenen Hornmilbenarten; P. cephei n. sp. in Cepheus dentatus Michael (Cepheidae); P. platynothri n. sp. in Platynothrus peltifer C. L. Koch (Camisiidae); P. dindali n. sp. in Carabodes coriaceus C. L. Koch (Carabodidae); Thelohania microtritiae n. sp. in Microtritia minima Berlese (Euphtiracaridae); Nosema steganacari n. sp. in Steganacarus striculus C. L. Koch (Phtiracaridae); N. acari n. sp. in Damaeus onustus C. L. Koch and D. clavipes Hermann (Damaeidae), und N. führeri n. sp. in Phtiracarus globosus C. L. Koch (Phtiracaridae). Der nachgewiesene Mikrosporidienbefall betrug bei den meisten Wirtsarten 2–5%, nur bei Rhysotritia duplicata Grandjean (Euphtiracaridae) lag er bei 15% und M. minima 10%.",Phtiracarus piger; Rhysotritia duplicata; Microtritia minima; Damaeus clavipes; Carabodes fernoralis; Phtiracarus sp.,NA,Phtiracarus piger; Damaeus clavipes; Carabodes fernoralis; Phtiracarus sp.,NA
Pleistophora ronneafiei,"Ultrastructure and Development of Pleistophora ronneafiei n. sp., a Microsporidium (Protista) in the Skeletal Muscle of an Immune-Compromised Individual","Ultrastructure and Development of Pleistophora ronneafiei n. sp., a Microsporidium (Protista) in the Skeletal Muscle of an Immune-Compromised Individual ::: ABSTRACT. This report provides a detailed ultrastructural study of the life cycle, including proliferative and sporogonic developmental stages, of the first Pleistophora species (microsporidium) obtained from an immune-incompetent patient. In 1985, the organism obtained from a muscle biopsy was initially identified as belonging to the genus Pleistophora, based on spore morphology and its location in a sporophorous vesicle. Since that initial report, at least two new microsporidial genera, Trachipleistophora and Brachiola, have been reported to infect the muscle tissue of immunologically compromised patients. Because Trachipleistophora development is similar to Pleistophora, and as Pleistophora was only known to occur in cold-blooded hosts, the question of the proper classification of this microsporidium arose. The information acquired in this study makes it possible to compare Pleistophora sp. (Ledford et al. 1985) to the known human infections and properly determine its correct taxonomic position. Our ultrastructural data have revealed the formation of multinucleate sporogonial plasmodia, a developmental characteristic of the genus Pleistophora and not Trachipleistophora. A comparison with other species of the genus supports the establishment of a new species. This parasite is given the name Pleistophora ronneafiei n. sp.",Homo sapiens,NA,Homo sapiens,NA
Pulicispora xenopsyllae,"The microsporidium Pulicispora xenopsyllae gen. n., sp. n. trom fleas of the genus Xenopsylla. P. 13-19.","The microsporidium Pulicispora xenopsyllae gen. n., sp. n. trom fleas of the genus Xenopsylla. P. 13-19. ::: The ultrastructure of the polysporous microsporidium Pulicispora xenopsyllae gen. п., sp. n. from Xenopsylla fleas is studied. Stages of late rnerogony and sporogony are limited by the amorphous, then double—layered coat of sporoforous vesicle. There is one type of sporogony. In the beginning of sporogony there is diplocarya. Sporophorous vesicles contain 8 to 32 spores. Oval-cylindrical spores have one horseshoe-shaped nucleus, large lamellar polaroplast and anisofilar polar tube. The number of thick and thin coiles of the tube is different: 5+3.5 , 6+3.5 , 7+3 . Sizes of spores are 5.7X2.8 mkm (from X. skrjabini) and 4.6X3.0 mkm (from X. Hirtipes).",Xenopsylla skrjabini; Xenopsylla hirtipes,NA,Xenopsylla skrjabini; Xenopsylla hirtipes,NA
Tetramicra brevifilum (1),"Tetramicra brevifilum (Matthews & Matthews, 1980) (Microsporida: Tetramicriidae) in a new fish host, Lophius budegassa (Spinola, 1807) in Spain","Tetramicra brevifilum (Matthews & Matthews, 1980) (Microsporida: Tetramicriidae) in a new fish host, Lophius budegassa (Spinola, 1807) in Spain ::: Tetramicra brevifilum, a microsporidian parasite of Scophthalmus maximus, was found in Lophius budegassa for the first time. This parasite was detected in 5 of 199 hosts captured in the coastal waters of Barcelona (Northwest Mediterranean), which enlarges the geographic distribution of this microsporidian. Affected fish did not show any external sign of disease, and cysts of T. brevifilum were found associated with the body musculature but were easily differentiated from those of Spraguea lophii, another microsporidian present in this host. A case of simultaneous infection by both T. brevifilum and S. lophii was found.",Lophius budegassa; Scophthalmus maximus; Scophthalmidae; Salmo salar,NA,Scophthalmidae; Salmo salar,NA
Thelohania assovi,"A NEW SPECIES OF MICROSPORIDIANS, THELOHANIA ASSOVI SP. N. (MICROSPORIDIA, NOSEMATIDAE), FROM LARVAE OF BLACK FLIES","A NEW SPECIES OF MICROSPORIDIANS, THELOHANIA ASSOVI SP. N. (MICROSPORIDIA, NOSEMATIDAE), FROM LARVAE OF BLACK FLIES",Odagmia sp.,NA,Odagmia sp.,NA
Thelohania bomboschi,Seven New Microsporidian Parasites of Springtails (Collembola) in the Federal Republic of Germany,"Seven New Microsporidian Parasites of Springtails (Collembola) in the Federal Republic of Germany ::: Three new species of Nosema (N. lepidocyrti, N. onychiurus and N. petrosa), one Encephalitozoon (E.flavescens), two species of Thelohania (T. bomboschi and T. collembolae) and a new genus Auraspora n.g. with A. canningae were described from Collembola in soil samples of Lower Saxony, Federal Republic of Germany.",Tomocerus flavescens,NA,Tomocerus flavescens,NA
Thelohania collernbolae,Seven New Microsporidian Parasites of Springtails (Collembola) in the Federal Republic of Germany,"Seven New Microsporidian Parasites of Springtails (Collembola) in the Federal Republic of Germany ::: Three new species of Nosema (N. lepidocyrti, N. onychiurus and N. petrosa), one Encephalitozoon (E.flavescens), two species of Thelohania (T. bomboschi and T. collembolae) and a new genus Auraspora n.g. with A. canningae were described from Collembola in soil samples of Lower Saxony, Federal Republic of Germany.",Tomocerus flavescens,NA,Tomocerus flavescens,NA
Thelohania limbata,Two New Species of Microsporidia from the Larvae Of Tramea Limbata (Odonata : Insecta),"Two New Species of Microsporidia from the Larvae Of Tramea Limbata (Odonata : Insecta) ::: Two new species of microsporidians, Nosema limbata n. sp. and Thelo. hania limbatan. sp. from the adipose tissue of the larvae of Tramealimbatacollected from the dairy farm area, Visakhapatnam and the Andhra University Campus at Waltair respectively me described and their systematic position discussed.",Tramea limbata,NA,Tramea limbata,NA
Thelohaniida sp. 1,Preliminary report of microsporidia in Simuliidae larvae from Argentina,"Preliminary report of microsporidia in Simuliidae larvae from Argentina ::: Amblyospora bracteata, Polydispyrenia simulii, and 3 other undescribed microsporidia are reported from 11 species of neotropical blackfly larvae collected from streams in Buenos Aires (eastern) and Neuquen (southwestern) provinces of Argentina. Preliminary light and electron microscopy studies indicate that 2 of the undescribed species belong in the family Thelohaniidae and the third species is placed in the family Caudosporidae. Ten species of Argentine blackflies are recorded as new host records for A. bracteata and P. simulii.",Gigantodax chilense; G. rufidulum,NA,Gigantodax chilense; G. rufidulum,NA
Thelohaniida sp. 2,Preliminary report of microsporidia in Simuliidae larvae from Argentina,"Preliminary report of microsporidia in Simuliidae larvae from Argentina ::: Amblyospora bracteata, Polydispyrenia simulii, and 3 other undescribed microsporidia are reported from 11 species of neotropical blackfly larvae collected from streams in Buenos Aires (eastern) and Neuquen (southwestern) provinces of Argentina. Preliminary light and electron microscopy studies indicate that 2 of the undescribed species belong in the family Thelohaniidae and the third species is placed in the family Caudosporidae. Ten species of Argentine blackflies are recorded as new host records for A. bracteata and P. simulii.",Cnesia dissimilis,NA,Cnesia dissimilis,NA
Thelohaniidae sp. 1,Isometric Viruslike Particles in Spores of Two Microsporidia Belonging to the Thelohaniidae,Isometric Viruslike Particles in Spores of Two Microsporidia Belonging to the Thelohaniidae,unidentified notata,NA,unidentified notata,NA
Thelohaniidae sp. 2,Isometric Viruslike Particles in Spores of Two Microsporidia Belonging to the Thelohaniidae,Isometric Viruslike Particles in Spores of Two Microsporidia Belonging to the Thelohaniidae,unidentified notata,NA,unidentified notata,NA
Toxoglugea tillargi,"The microsporidium Toxospora volgae, new genus new species from Chironomidae larvae of the genus Corynoneura","The microsporidium Toxospora volgae, new genus new species from Chironomidae larvae of the genus Corynoneura",Tholymis tillarga,NA,Tholymis tillarga,NA
Toxospora volgae,"The microsporidium Toxospora volgae, new genus new species from Chironomidae larvae of the genus Corynoneura","The microsporidium Toxospora volgae, new genus new species from Chironomidae larvae of the genus Corynoneura ::: The ultrastructure of the octosporous microsporidium Toxopora volgae gen. n., sp. n. is studied. In the beginning of sporogony there is diplocaryon. Stages of sporogony are limited by thin and fragile envelope of the sporophorous vesicle. The C-from, 0.-0.8 times 6-8 mm l on spores have one elongated nucleus, a layered exospore and a polar tube of unusual construction. The polaroplast consists of two parts - anterior closely paked lamellae and posterior tube/chambered. The microsporidium is compared to Toxoglugea microsporidia. The taxonomic relations between the genera Toxoglugea and Toxospora are discussed.",Sogupopeiga sp.,NA,Sogupopeiga sp.,NA
Trachipleistophora anthropophthera,Microsporidia of the Genus Trachipleistophora Causative Agents of Human Microsporidiosis: Description of Trachipleistophora anthropophthera N. Sp. (Protozoa: Microsporidia),"Microsporidia of the Genus Trachipleistophora Causative Agents of Human Microsporidiosis: Description of Trachipleistophora anthropophthera N. Sp. (Protozoa: Microsporidia) ::: Trachipleistophora anthropophthera n. sp., was found at autopsy in the brain of one and in the brain, kidneys, pancreas, thyroid, parathyroid, heart, liver, spleen, lymph nodes, and bone marrow of a second patient with AIDS. The parasite is similar to the recently described T. hominis Hollister, Canning, Weidner, Field, Kench and Marriott, 1996, in having isolated nuclei, meronts with a thick layer of electron dense material on the outer face of their plasmalemma and sporogony during which spores are formed inside a thick-walled sporophorous vesicle. In contrast to T. hominis, this species is dimorphic as it forms two kinds of sporophorous vesicles and spores: Type I - round to oval polysporous sporophorous vesicle, 7-10 μm in size, usually with eight spores (3.7 x 2.0 μm), thick endospores, subterminal anchoring disc and anisofilar polar filaments forming seven thicker and two thinner terminal coils. This type of sporophorous vesicle is associated with 25-30 nm filaments extending into the host cell cytoplasm. Type II - smaller, bisporous sporophorous vesicle (4-5 x 2.2-2.5 μm) with two, nearly round, thin-walled spores, 2.2-2.5 x 1.8-2.0 μm in size, having 4-5 isofilar coils. No outside filamentous elements are associated with the bisporous sporophorous vesicle. Both types of sporophorous vesicles were common in the infected brain tissue and could be found within the same cell. The newly described species, together with T. hominis and previously reported Pleistophora-like parasites from human muscle, likely represent a group of closely related human microsporidia.",Homo sapiens,NA,Homo sapiens,NA
Trachipleistophora extenrec,Trachipleistophora extenrec n. sp. a New Microsporidian (Fungi: Microsporidia) Infecting Mammals,"Trachipleistophora extenrec n. sp. a New Microsporidian (Fungi: Microsporidia) Infecting Mammals ::: ABSTRACT. A new microsporidian Trachipleistophora extenrec n. sp. was isolated from a muscle lesion of the streaked tenrec Hemicentetes semispinosus Cuvier, 1798 (Mammalia, Tenrecidae), an insectivore endemic to Madagascar. The spores isolated from the tenrec were infectious to severe combined immunodeficient (SCID) mice by intramuscular injection. Material obtained from muscular lesions in mice was used for the parasite description. All developmental stages of the microsporidian were covered by a dense coat, which during sporogony changed into the sporophorous vesicle wall. Eight, 16, 32, or more spores were formed inside the sporophorous vesicle as the result of the division by plasmotomy and sequential fission of a multinucleate sporogonial plasmodium. Spores were ovoid, 4.7 × 2.8 μm in size, had a large posterior vacuole, and had an isofilar polar tube with 15–16 coils. Although the fine structure and the developmental pattern of the organism were in some respects similar to the genus Vavraia, molecular phylogeny based on the gene sequences of the small subunit rRNA and RNA polymerase subunit II indicated that the organism belongs to the genus Trachipleistophora. The diagnostic characters of the genera Trachipleistophora and Vavraia are discussed as well as the discrepancies between the phylogenies of these two microsporidian genera based on morphology and molecules.",Hemicentetes semispinosus; Mus musculus,NA,Mus musculus,NA
Trachipleistophora hominis,"Myositis associated with a newly described microsporidian, Trachipleistophora hominis, in a patient with AIDS","Myositis associated with a newly described microsporidian, Trachipleistophora hominis, in a patient with AIDS ::: Microsporidia are zoonotic protozoa which were rare human pathogens prior to 1985, when Enterocytozoon bieneusi was described in human immunodeficiency virus-infected patients with chronic diarrhea. Another species, Encephalitozoon (Septata) intestinalis, is associated with diarrhea and chronic sinusitis, and approximately 25 cases have been reported in the literature. However, other microsporidial infections in human immunodeficiency virus-infected patients remain extremely rare. We report the first case of a Pleistophora sp.-like microsporidian infection presenting as a progressive severe myosotis associated with fever and weight loss. The organism was demonstrated by light microscopy and electron microscopy in corneal scrapings, skeletal muscle, and nasal discharge. Electron microscopy showed an electron-dense surface coat with ''sun-flare''-like projections surrounding all stages of development of meronts (two to four nuclei, dividing by binary fission), sporonts, and sporoblasts. Division of sporonts, in which sporonts separate from the thick outer coat, creating a sporophorous vesicle, is by binary fission, differentiating this organism from Pleistophora sp. The spore measures 4.0 by 2.5 mu m and has a rugose exospore. A new genus and species, Trachipleistophora hominis, has been established for this parasite. The patient was treated with albendazole, sulfadiazine, and pyrimethamine, and the clinical symptoms resolved.",Homo sapiens,NA,Homo sapiens,NA
Trachipleistophora sp.,A Trachipleistophora-like microsporidium of man: Its dimorphic nature and relationship to Thelohania apodemi,"A Trachipleistophora-like microsporidium of man: Its dimorphic nature and relationship to Thelohania apodemi ::: The structure of the human microsporidium found by Yachnis and colleagues in two AIDS patients (Am. J. Clin. Pathol. 106: 535-43, 1996) (hereafter referred to as HMY) was investigated by light and transmission electron microscopy and compared with Thelohania apodemi Doby, Jeannes et Raoult, 1963, a microsporidian of small rodents. The fine structure of the HMY was found to be similar to that of Trachipleistophora hominis Hollister, Canning, Weldner, Field, Kench et Marriott, 1996. Characteristic is the presence of a thick layer of electron dense material on the outer face of the meront plasmalemma, which is maintained during the whole life cycle and which later persists as an electron dense coat on the sporophorous vesicle (SPOV). However, HMY is distinguished from T. hominis during sporogony, as two types of SPOV and spores are formed in HMY. One type of SPOV contains thick-walled spores (usually 8 or more in number) with anisofilar polar filaments of 7 + 2 pattern, while the other type contains only two thin-walled spores with a smaller number (3-5) of isofilar polar filament coils. The HMY differs from T. apodemi which also forms SPOV with 8 spores inside, but the spores of which are larger in size and have 9 + 2 polar filament pattern.",Homo sapiens,NA,Homo sapiens,NA
Tuzetia weidneri (1),Ultrastructure of Tuzetia weidneri sp. n. (Microsporidia: Tuzetiidae) in skeletal muscle of Litopenaeus setiferus and Farfantepenaeus aztecus (Crustacea: Decapoda) and new data on Perezia nelsoni (Microsporidia: Pereziidae) in L. Setiferus,"Ultrastructure of Tuzetia weidneri sp. n. (Microsporidia: Tuzetiidae) in skeletal muscle of Litopenaeus setiferus and Farfantepenaeus aztecus (Crustacea: Decapoda) and new data on Perezia nelsoni (Microsporidia: Pereziidae) in L. Setiferus ::: A new microsporidian species, Tuzetia weidneri sp. n., is described from the skeletal muscle of the decapod crustaceans Litopenaeus setiferus and Farfantepenaeus aztecus. Fresh spores are pyriform, measuring 3.1 × 2.3 μm. All stages have unpaired nuclei. Meronts lie in direct contact with degenerate host cell cytoplasm but produce numerous small blisters at the surface. Multinucleate meronts divide by constriction into groups or chains of uninucleate products. Sporogony is initiated by deposition of a dense surface coat on the plasma membrane of uninucleate or multinucleate stages and fusion of blisters to enclose the sporont in a sporophorous vesicle (SV). Episporontal secretions in the SV are involved in the division of the sporont. During sporogonic division into chains of sporoblasts, the SV divides together with the body of the sporont, so that each sporoblast is enclosed in its own SV. Spores have a flattened anchoring disc that lies in the polar sac, membranous and spongiform regions of the polaroplast and 9-10.5 coils of the isofilar polar tube, around a posterior vacuole. The endospore layer of the spore wall is not thinned over the anchoring disc. The spore wall is adorned with a complex series of ridges. New data are presented on the spores of Perezia nelsoni (Sprague 1950) in L. setiferus. Of special interest is the polaroplast which is composed of an outer region of tightly-packed membranes in the form of a globule, which almost invariably completely encloses an inner region of loosely packed membranes. The isofilar polar tube, arranged in 8-10 coils angled around the large nucleus in the posterior half of the spore, passes through the membranes of the globular polaroplast near the periphery of the spore, then runs a curved course through the inner polaroplast and passes again through the globular polaroplast to join the anchoring disc. A polaroplast with one region completely enclosed by another has not been described previously.",Litopenaeus setiferus; Farfantepenaeus azectus,NA,Farfantepenaeus azectus,NA
