"Timestamp","Species Name","Date Identified (year)","Natural Host(s)","Experimental Host(s)","Host Environment","Host Life Stage during Infection","Site of Infection","Transmission","Spore Length Average (µm)","Spore Width Average (µm)","Calculated Volume (µm³) (see methods)","Spore Shape (Class; Condition)","Locality","Nucleus","Measured Polar Tubule Length Max (μm)","Measured Polar Tubule Length Min (μm)","Measured Polar Tubule (μm)","Calculated Polar Tubule (μm) (see methods)","Polar Tubule Coils Range","Polar Tubule Coils Average","18S Accession #","Has the genome been sequenced?","Important Remarks","References"
,"Microsporidium enchytreidorum",1983,"Fridericia ratzeli",,,,,,3.25,2.25,8.614836105,"long oval","Germany",,,,,,,,,,,"Purrini, Von Kurtesh. “Microsporidium enchytreidorum n. sp. and Microsporidium oligochaetae n. sp. (Microsporida: Phylum Microspora) zwei neue Mikrosporidien-Arten in den Vesiculae seminales bei Enchytreiden (Oligoechaeta: Annelida).” Archiv für Protistenkunde 127, no. 2 (January 1983): 151–58. https://doi.org/10.1016/S0003-9365(83)80031-1."
,"Microsporidium ephemerae",1908,"Ephemera sp.",,,"larva","gut","horizontal",2,0.6,0.3769911184,,,,,,,,,,,,,"Nosema ephemerae β L. & S., 1908, Zentralbl. Bakteriol. Parasitenkd. Infektionskr. Hyg. Abt. I, Orig., 46, 314, Fig. 37. Kudo, 1924, Ill. BioI. Monogr., 9(2/3), 87. Weiser, 1961, Monogr. Angew. Entomol., 17, 44."
,"Microsporidium epithelialis",2000,"Tubifex sp.",,,,"intestinal epithelium","horizontal","2.2 um (fixed)","1.05 um (fixed)","1.26998883021367 (fixed)","oval","Germany",1,,,,"11.5453530019425 (fixed)",2022-03-04,3.5,,,,"1. Oumouna M, El-Matbouli M, Hoffmann RW, Bouix G. Electron microscopic study of a new microsporean Microsporidium epithelialis sp. n. infecting Tubifex sp. (Oligochaeta). Folia Parasit. 2000;47:257–65."
,"Microsporidium eriogastri",1957,"Eriogaster lanestris",,,"larva","hypodermis","horizontal",4,2,8.37758041,,"Czechoslovakia.",2,,,,,,,,,,"Thelohania eriogastri Weiser, 1957, Z. Angew. Entomol., 41, 244, Fig. 2. Weiser, 1961, Monogr. Angew. Entomol., 17, 95. Hazard & Oldacre, 1975, U. S. Dep. Agric. Tech. Bull., 1530, 95."
,"Microsporidium fimbriatum",1983,"Aedes taeniorhynchus",,,"larva; pupae; adult males (type 1); adult females (type 2)","fat body (type 1); egg (type 2)","both","8(type 1); 4(type 2)","3(type 1); 2(type 2)","37.6991118430775 (type 1); 8.37758040957278 (type 2)","pyriform (type 1); cylindrical (type 2)","U.S.A.","1 (type 1); 1 (type 2)",,,,,,"7 (unclear what spore class this belongs to)",,,,"Lord, Jeffrey C., and Donald W. Hall. “A New Microsporidian Parasite of the Mosquito Aedes Taeniorhynchus.” Journal of Invertebrate Pathology 41, no. 3 (May 1983): 301–304. https://doi.org/10.1016/0022-2011(83)90246-X."
,"Microsporidium fluviatilis",1994,"Eucyclops serrulatus",,,,"adipose tissue","horizontal",17,2.9,74.85891695,"club-shaped","Russia (River Oredezh in St Peterberg region)",,,,,214.0995393,"23 - 24",23.5,,,,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37."
,"Microsporidium francottei",1909,"Ptyahoptera contaminata",,,"larva","epithelial cells of midgut","horizontal",3,,,,"Belgium",,,,,,,,,,,"1. Gurleya francottei L. & D., 1909, Bull. Cl. Sci. Acad. R. Belg., 8, 885-902, fig. [fide Kudo, 1924, Ill. BioI. Monogr., 9(2/3), 129, Figs. 370-382, 776]. Kudo, 1924, loc.cit. Weiser, 1947, Acta Soc. Sci. Nat. Moravicae, 18, 36. Thomson, 1960, J. Insect Pathol., 2, 356. Weiser, 1961, Monogr. Angew. Entomol., 17, 106
 2. Pyrotheca francottei (L. & D., 1909) Hesse, 1935, Arch. Zool. Exp. Gen., 75, 660. Poisson, 1953, in ""Traite de Zoologie"" (P. P. Grasse, ed.), 1(2),1061, Fig. 811."
,"Microsporidium ghigii",1924,"Plerocercoides pancerii; Tropidonotus natrix; Telorchis ercolanii",,,,"subcutaneous connective tissue; muscles; parenchyma; epidermis","horizontal",2.5,2,5.235987756,,"Italy (Bologne).",,,,,,,,,,,"1. Glugea ghigii G. & N., 1924, Rev. Suisse Zool., 31,96, Figs. 5-6
 2. Nosema (Plistophora) ghigii (G. & N., 1924) Guyenot, Naville, Ponse,1925, ibid., 418."
,"Microsporidium girardini",1903,"Girardinus sp.",,,,"skin; musculature; intestinal serosa; mucosa","horizontal",2.25,1.25,1.840776945,,"Brazil (near Sao Paulo).",,,,,,,,,,,"Nosema girardini L. & S., 1903, Zentralbl. Bakteriol. Parasitenkd. Hyg. Abt. I, Orig., 33, 154, Fig. 4. Kudo, 1924, Ill. Biol. Monogr., 9(2/3), 84,Fig. 89."
,"Microsporidium giraudi",1917,"Gammarus pulex; Gammarus locusta; Niphargus ilidzensis; Gammarus oceaniaus; G. salinus Spooner","G. duebeni;G. zaddaahi",,,,,5.38,2.55,18.31729159,,"Germany (Griefswald, etc.); Belgium (Louvain); France (Paris, Grenoble?); Yugoslavia; Czechoslovakia (Prague).",,,,,,,,,,,"1. Glugea mulleri Pfeiffer [partim] , 1984, in ""Correspondezblatter des allgemeinen arztlichen Vereins von Thiiringen,"" p. 21-22 [fide Labbe, 1899, in ""Das Tierreich"" (0. BUtschli, ed.), 5., p. 109]. Pfeiffer, 1895, ""Protoz. Krankh., Suppl.,"" p. 54-60, 72 [fide Labbe, loc. cit. ]. Debaisieux, 1919, Cellule, 30, Figs. 54-86. Kudo, 1924, Ill. BioI. Monogr., 9(2/3), 119, Figs. 296-313
 2. Plistophora mulleri (Pfeiffer, 1894) Labbe [partim], 1899, loc. cit. Georgevitch, 1929, Arch. Protistenkd., 65, 148, textfig. 1 + Pls. 4-8. Jirovec, 1943, Priroda (Brno), 35, 152, Fig. 3
 3. Thelohania giraudi L. & H., 1917, C. R. Soc.JBiol., 80, 14, Figs. 519, 752. Poisson, 1953, in ""Traite de Zoologie (P. P. Grasse, ed.). 1(2). 1063. Fig. 812B. Lipa. 1967. Acta Protozool ., 5, 95
 4. Plistophora blochmanni Zwolfer, 1926, Arch. Protistenkd., 54:- 261, Figs. A-F and 1-75. Zwolfer, 1926, ibid., 341, Fig. A. Jirovec, 1936, Vestn. Cesk. Spol. Zool., 4, 62
 5. Stempellia mulleri (Pfeiffer, l894T Bulnheim, 1971, Arch. Protistenkd., 113, 137, Figs. 1, 2."
,"Microsporidium goeldichironomi",1981,"Goeldichironomus holoprasinus",,,,,,3.72,2.27,10.03675393,"oval; pyriform","U.S.A.(Florida)",1,,,,67.74844557,2022-08-11,9.5,,,,"Knells, John. “Microsporidia from Florida Chironomidsl,” n.d., 9."
,"Microsporidium grylli",2018,"Gryllus bimaculatus",,,,,,"6.3 (fresh)",3.7,"45.1588235990265 (fresh)","ovoid",,1,,,,180.1703387,"15-16",15.5,"MG663123",,,"Tokarev YS, Peat KM, Malysh JM, Senderskiy IV. Discovery of a novel microsporidium in laboratory colonies of Mediterranean cricket Gryllus bimaculatus (Orthoptera: Gryllidae): Microsporidium grylli sp. nov. Parasitol Res. 2018;117:2823–9."
,"Microsporidium haematobium",1936,"Tubifex tubifex",,,,"blood vascular system; sinuses around gut","horizontal",5,2.75,19.7985787,,"Czechoslovakia (near Mokropsy).",,,,,,,,,,,"Nosema haematobium Jirovec, 1936, Zool. Anz., 114, 219, Fig. 2. Weiser, 1947, Acta Soc. Sci. Nat. Moravicae, 18, 18."
,"Microsporidium holopedii",1894,"Holopedium gibbeum",,,,,,,,,,"Hungary.",,,,,,,,,,,"1. Microsporidium holopedii F. & V., 1894, Arch. Landesdf. Bohmen., 9, 106, Figs. 70, 71 [fide Labbe, 1899, in ""Das Tierreich"" (0. BUtschli, ed.), 5,110]
 2. Plistophora holopedii (F. & V., 1894) Labbe, 1899, loc. cit
 3. Gen. incert. holopedii (F. & V., 1894) Kudo, 1924, Ill. BioI. Monogr., 9(2/3), 197. [See Kudo for other synonyms.]."
,"Microsporidium hyphantriae",1953,"Hyphantria cunea","Nygmia phaeorrhoea;Malacosoma neustria;Hyponomeuta malinella;Euproctis chrysorrhoea;Malacosoma neustrium",,"larva","fat body","horizontal",4.5,2.5,14.72621556,,"Czechoslovakia (near Surany)",2,,,,,,,,,,"Thelohania hyphantriae Weiser, 1953, Vestn. Cesk. Spol. Zool., 17,228. Weiser & Veber, 1957, Z. Angew. Entomol., 40, 55. Thomson, 1960, J. Insect Pathol., 2,358. Weiser, 1961, Monogr. Angew. Entomol., 17, 93. Hazard & Oldacre, 1975, U. S. Dep. Agric. Tech. Bull., 1530, 95."
,"Microsporidium incurvatum",1887,"Daphnia pulex",,,,,,5,2,10.47197551,,"France (Lille).",,,,,,,,,,,"1. Microsporidia incurvata Moniez, 1887, C. R. Acad. Sci., 104, 185
 2. Microsporidia incurvata Moniez, 1887, C. R. Acad. Sci., 104, 185 Microsporidia (Nosema) incurvata (Moniez, 1887) Moniez, 1887, ibid., 1314
 3. Plistophora obtusa (Moniez, 1887) Labbe [partim], 1899, ""Das Tierreich"" (0. Biitschli, ed.), 5, 109. Kudo [partim] , 1924, Ill. Biol. Monogr., 9(2/3), 167. Weiser, 1947, Acta Soc. Sci. Nat. Moravicae, 18, 22."
,"Microsporidium itiiti (Endoreticulatus itiiti)","1985; 2015","Listronotus bonariensis",,,"larva; adult",,,"2.5(fresh); 2.7(stained)","1.4(fresh); 1.7(stained)","2.56563400043166 (fresh)","ovoid",,1,,,,"39.5840674352314 (fresh)",2022-08-10,9,"KJ755828",,,"1. Malone, Louise A. “A New Pathogen, Microsporidium Itiiti n. Sp. (Microsporida), from the Argentine Stem Weevil, Listronotus Bonariensis (Coleoptera, Curculionidae) 1.” The Journal of Protozoology 32, no. 3 (August 1985): 535–41. https://doi.org/10.1111/j.1550-7408.1985.tb04057.x
 2. Pilarska DK, Radek R, Huang W-F, Takov DI, Linde A, Solter LF. Review of the genus Endoreticulatus (Microsporidia, Encephalitozoonidae) with description of a new species isolated from the grasshopper Poecilimon thoracicus (Orthoptera: Tettigoniidae) and transfer of Microsporidium itiiti Malone to the genus. Journal of Invertebrate Pathology. 2015;124:23–30."
,"Microsporidium kosewiense",2003,"Psectrotanipus sp.",,,"larva","fat body","horizontal",3.2,2.2,8.109497836,"oval",,1,,,,27.64601535,2022-03-05,4,,,,"Ovcharenko, M., and I. Wita. “Ultrastructural Study of Microsporidium Kosewiense Sp. n. (Microspora, Thelohaniidae) — a Microsporidian Parasite of Psectrotanipus Larvae (Diptera, Chironomidae).” Vestnik Zoologii 37, no. 6 (2003): 39–48."
,"Microsporidium laverani",1899,"Scoloplos muelleri; Scolelepis fuliginosa",,,,"body cavity; epidermis","horizontal",4.25,1.75,6.814965314,,"France (near cape of the Hague).",,,,,,,,,,,"1. Glugea laverani C. & M., 1899, C. R. Soc. BioI., 51, 791. Kudo, 1924, Ill. BioI. Monogr., 9(2/3), 120. Auerbach, 1910, “Die Cnidosporidien,” p. 191
 2. Plistophora laverani (C. & M., 1899) Weiser, 1947, Acta Soc. Sci. Nat. Moravicae, 18, 17."
,"Microsporidium legeri",1941,"Clysia ambiguella",,,"larva","midgut epithelium; silk glands; Malpighian tubules; pericardial cells; oenocytes; muscles; hypodermal cells; fat tissue; reproductive organs; sex cells","both",2,1,1.047197551,,"France (Saint-Genis-Laval); Czechoslovakia (Bratislava) .",1,,,,,,,,,,"1. Mesnilia legeri Paillot, 1941, C. R. Soc. Biol., 135, 1041. Poisson, 1953, in, ""Traitie de Zoologie"" (P. P. Grasse, ed.), 1(2), i068
 2. Stempellia legeri (Paillot, 1941) Weiser, 1961, Monogr. Angew. Entomol., 17, 95. Issi, 1968, Acta Protozool., 6, 350."
,"Microsporidium leptophlebiae",1946,"Leptophlebia vespertina",,,"larva","musculature; general infection (except fat body)",,2.5,2,5.235987756,,"Czechoslovakia (near Chotebor).",1,,,,,,,,,,"Nosema leptophlebiae Weiser, 1946, Vestn. Cesk. Spol. Zool., 10, 250, Fig. 3. Weiser, 1947, Acta Soc. Sci. Nat. Moravicae, 18, 30, Tab. vc. Thomson, 1960, J. Insect Pathol., 2, 350. Weiser, 1961, Monogr. Angew. Entomol., 17, 46."
,"Microsporidium lesiodermi",1990,"Lesioderma sericorne",,,,"fat body; hemoctye; midgut epithelium","horizontal","4.5(macrospores); 2.6(microspores)","2.65(macrospores); 1.3(microspores)","16.5463758073757 (macrospores); 2.30069301997893 (microspores)","spindle-shaped","India","1 (macrospores); 1 (microspores)",30,25,"27.5 (unclear what spore class this belongs to)",,,,,,,"Ghosh, S. “Studies on Histopathology and Development of a Microsporan, Microsporidium Lesiodermi, Sp. n., from a Coleopteran Insect, Lesioderma Sericorne (L.) Infesting Common Spice, Coriandrum Sativum (L.).” Acta Protozoologica 29, no. 4 (1990): 381—388."
,"Microsporidium leydigii",1895,"Cyclops sp.",,,,,,8,5,104.7197551,,"Germany (Weimar).",,,,,,,,,,,"Glugea leydigii Pfeiffer, 1895, ""Die Protozoen als Krankheitserreger, Nachtrage,"" p. 83 [fide Kudo, 1924, Ill. BioI. Monogr., 9(2/3), 76]."
,"Microsporidium longifilum",1905,"Otiorhynchus fuscipes",,,,"fat body","horizontal","4.5 (normal spores); 6 (macrospores)","3 (normal spores); 4 (macrospores)","21.2057504117311 (normal spores); 50.2654824574367 (macrospores)",,"France.",,90,85,"87.5 (unclear what spore class this belongs to)",,,,,,,"1. Nosema longifilum Hesse, 1905, C. R. Assoc. Franc., 11, 918. Kudo, 1924, Ill. BioI. Monogr., 9(2/3), 89. Thomson, 1960, J. Insect Pathol., 2, 350. Weiser, 1947, Acta Soc. Sci. Nat. Moravicae, 18, 29. Weiser, 1961, Monogr. Angew. Entomol., 17, 67
 2. Glugea longifila (Hesse, 1905) Auerbach, 1910, ""Die Cnidosporidien,"" P. 191."
,"Microsporidium lotaensis",1988,"Aedes vigilax",,,"larva",,,"6.1(fresh); 4.5(stained)","3.7(fresh); 3.1(stained)","43.7252101514383 (fresh)","broadly conical","Australia (Queensland)",1,,,,"92.9911425462579 (fresh)","8.5-9.5",8,,,,"Kettle, Douglas S., and Richard G. Piper. “Light and Electron Microscope Studies on Three New Species of Microsporidia from Saltmarsh Mosquitoes in Australia.” European Journal of Protistology 23, no. 3 (July 1988): 229–41. https://doi.org/10.1016/S0932-4739(88)80039-7."
,"Microsporidium luciopercae",2017,"Sander lucioperca",,,,,,"4.6 (fixed)",2.8,"18.883066243177 (fixed)","ovoid","Finland",1,,,,219.9114858,25,25,"KX351969, KU302782",,,"Jones SRM, Ahonen HS, Granlund L, Arsiola T, Taskinen J. Two Novel Microsporidia in Skeletal Muscle of Pike-Perch Sander lucioperca and Burbot Lota lota in Finland. J Parasitol. 2017;103:95–102."
,"Microsporidium lunatum",1970,"Culex pilosus",,,"larva","fat body","horizontal","10.5(fresh)","4.25(fresh)","99.3037802845649 (fresh)",,"U.S.A. (Florida).",,114,93,103.5,,,,,,,"Stempellia lunata H. & S., 1970, J. Invertebr. Pathol., 15, 49, Figs. 1-15. Hazard & Fukuda, 1974, J. Protozool., 21,497, Figs. 2, 5, 8, 11, 14."
,"Microsporidium magnum",1920,"Culex pipiens (type host); Culex territans; Culex restuans; Anopheles stephensi; Anopheles punctipennis; Aedes sierrensis; Culiseta inornata",,,"larva","adipose tissue","horizontal","14.25 (normal spores); 25 (macrospores)","4.3 (normal spores); 10 (macrospores)","137.959114391579 (normal spores); 1308.99693899575 (macrospores)",,"U.S.A. (Illinois, Pennsylvania, Virginia, California, Connecticut) .","1 (normal spores)",400,350,"375 (unclear what spore class this belongs to)",,,,,,,"1. Thelohania magna Kudo, 1920, J. Parasitol., 6, 180, Figs. 1-11. Kudo, 1920, Trans. Ill. State Acad. Sci., 13, 301. Kudo, 1921, J. Morphol., 35, 156, Figs. 1-60. Kudo, 1922, J. Parasitol., 8, 73. Issi,1968, Acta Protozool., 6, 350
 2. Stempellia magna (Kudo, 1920) Kudo, 1924, Ill. BioI. Monogr., 9(2/3), 164, Figs. 571-596, 769, 770, textfig. I. Kudo, 1925, BioI. Bull., 48, 112, Figs. 1-3. Weiser, 1947, Acta Soc. Sci. Nat. Moravicae, 18, 27. Thomson, 1960, J. Insect Pathol., 2, 362. Weiser, 1961, Monogr. Angew. Entomol., 17, 116. Kudo, 1960, J. Insect Pathol., 4, 353. Wills & Beaudoin, 1965, J. Invertebr. Pathol., 7,-13, Figs. 5-8. Bailey, Barnes & Dewey, 1967, Mosq. News, 27, 111, Figs. 1-8. Clark & Fukuda, 1967, J. Invertebr. Pathol, 9, 430. Anderson, 1968, ibid. 3 11, 453. Simmers, 1974, J. Parasitol., 60, 721. Hazard & Savage, 1970, J. Invertebr. Pathol., 15,49, Figs. 12, 13. Hazard & Fukuda, 1974, J. Protozool., 21, 497, Figs. 1, 4, 7, 10, 13
 3. Pyrotheca magna (Kudo, 1920) Hesse, 1935, Arch. Zool. Exp. Gen., 75, 660. Poisson, 1953, in ""Traite de Zoologie"" (P. P. Grasse, ed. ), 1 ( 2 ), 1061."
,"Microsporidium maroccani",1998,"Dentex canariensis",,,,"liver","horizontal","3.2 ± 0.14","1.8 ± 0.38",5.428672105,"ovoid","Senegal",1,,,,45.23893421,"7 - 9",8,,,,"Faye N, Toguebaye BS, Boiux G. On the occurrence of microsporidian infections in the liver of four Sparid fishes species from Senegal. Bull Eur Assoc Fish Pathol. 1998;18:84–6."
,"Microsporidium mesnili",1924,"Pieris brassicae",,,"larva","fat body","horizontal",3.75,2.25,9.940195505,,"France (St. Genis-Laval).",,,,,,,,,,,"Thelohania mesnili Paillot, 1924, C. R. Soc. Biol., 90, 501, Figs. 1-10. [?]Blunck, 1954, Z. Angew. Entomol., 36, 327, Fig. 1. Weiser, 1961, Monogr. Angew. Entomol., 17,92. Lipa, 1963, Pr. Nauk. Inst. Ochr. Rosl. Warsz., 2, 131,Figs. 38-48. Hazard & Oldacre, 1975, U. S. Dep. Agric. Tech. Bull., 1530, 95."
,"Microsporidium micrococcus",1921,"Tanypus setiger",,,"larva","fat body","horizontal",1.9,1.9,3.591364002,"spherical","France [Grenoble and Montessaux (Haute-Saone)].",,,,,,,,,,,"1. Cocconema micrococcus L. & H., 1921, C. R. Acad. Sci., 173, 1420. Kudo, 1924, Ill. Biol. Monogr., 9(2/3), 180, [?]Figs. 639-640. Weiser, 1947, Acta Soc. Sci. Nat. Moravicae, 18, 40
 2. Coccospora micrococcus (L. & H., 1921) Kudo, 1925, Science, 61, 1579. Poisson, 1953, in ""Traite de Zoologie"" (P. P. Grasse, ed.), 1(2), 1067
 3. Nosema micrococcus (L. & H., 1921) Weiser, 1961, Monogr. Angew. Entomol., 17, 117."
,"Microsporidium milevae","2006; 2011","Thunnus thynnus",,,,"intestinal","horizontal","4.88 ± 0.31 um (c1, fresh); 1.62 um (c2, fresh); 3.605 ± 0.075 um (fixed)","2.45 ± 0.28 um (c1, fresh); 0.42 um (c2, fresh); 1.815","15.3373600545805 (c1, fresh); 0.149627774905175 (c2, fresh)","pyriform (c1, c2)","(Adriatic Sea) Croatia","1 (c1); 1 (c2)",,,,"111.605079018777 (c1, fresh); 19.1322992603618 (c2, fresh)","12-17 (c1, c2)","14.5 (c1); 14.5 (c2)","EF990668",,,"1. Mladineo I. Microsporidia sp. in Atlantic bluefin tuna (Thunnus thynnus). Bull Eur Assoc Fish Pathol. 2006;26:153–6.
 2. Mladineo I, Lovy J. A new xenoma-forming microsporidium infecting intestinal tract of Atlantic bluefin tuna (Thunnus thynnus). Acta Parasitol. 2011;56:339–47
 3. Mladineo I, Lovy J. A new xenoma-forming microsporidium infecting intestinal tract of Atlantic bluefin tuna (Thunnus thynnus). Acta Parasitologica [Internet]. 2011 [cited 2020 Apr 30];56. Available from: http://www.degruyter.com/view/j/ap.2011.56.issue-4/s11686-011-0075-1/s11686-011-0075-1.xml"
,"Microsporidium milleri (Hazardia milleri)",1974,"Culex pipiens quinquefasciatus","C. p. pipiens;C. salinarius;C. tarsalis;C. territans.",,"larva","blood cells; fat tissue","horizontal",4.9,2.5,16.0352125,,"U.S.A. (Texas and Louisiana).",,,,,,,,,,,"Stempellia milleri H. & F., 1974, J. Protozool., 21, 497, Figs.
 3, 6, 9, 12, 15, 16."
,"Microsporidium moniezi",1943,"Hymenolepis anthocephalus; Dorchis reynoldsi",,,,"parenchyma; excretory ducts","horizontal",4.5,1.75,7.215845626,,"U.S.A. (Virginia).",,,,,,,,,,,"Stempellia moniezi Jones [nomen nudum], 1942, J. Parasitol., 28 (Suppl.), 10. Jones, 1943, ibid., 29, 373, Figs. 1-4."
,"Microsporidium mrazeki",1905,"Limnodrilus hoffmeisteri",,,,"epithelium; lumen of gut; body cavity","horizontal",9.5,1.5,11.19192383,,"France (Grenoble).",,,,,,,,,,,"1. Myxocystis mrazeki Hesse, 1905, C. R. Assoc. Franc., 33, 916 Hesse, 1905, C. R. Soc. Biol., 58, 12,13,1 fig. [fide Kudo, 1924, Ill. BioI. Monogr., 9(2/3), 182]. Auerbach, 1910, ""Die Cnidosporidien,"" p. 193, Fig. 81
 2. Mrazekia mrazeki (Hesse, 1905) Kudo, 1924, loc. cit., Figs. 652-655
 3. Cougourdella mrazeki (Hesse, 1905) Hesse, 1935, Arch. Zool. Exp. Gen., 75, 660. Jirovec, 1936, Arch. Protistenkd., 87, 318. Weiser,1947, Acta Soc. Sci. Nat. Moravicae, 18, 21."
,"Microsporidium mutabilis",1923,"Ameletus ludens",,,"nymph","fat body","horizontal","4.65(fresh)","2.75(fresh)","18.4126781931489 (fresh)",,"U.S.A. (Warren, Pennsylvania).",,,,70,,,,,,,"Thelohania mutabilis Kudo, 1923, J. Parasitol., 10, 22, Figs. 1-22. Kudo, 1924, Ill. BioI. Monogr., 9(2/3),:160, Figs. 684-687. Weiser, 1961, Monogr. Angew. Entomol., 17, 48. Hazard & Oldacre, 1975, U. S. Dep. Agric. Tech. Bull., 1530, 95."
,"Microsporidium necatrix",1965,"Pseudaletia unipuncta (type host); Hyphantria cunea; Heliothis virescens","Colias eurytheme",,"larva","hemolymph; fat body","horizontal",4.48,2.32,12.62561686,,"U.S.A. (Illinois and Hawaii).",,,,,,,,,,,"1. ""Microsporidian"" Tanada & Chang, 1962, J. Insect Pathol., 4, 129. Tanada, 1962, ibid., 495. Tanada, 1966, Proc. Hawaii. Entomol. Soc., 19, 302
 2. Nosema Sp. Tanada,1964 , Proc. Hawaii. Entomol. Soc., 18, 435. Fowler & Reeves, 1974, J. Invertebr. Pathol., 23, 63
 3. Thelohania Sp. Tanada, 1964, loc. cit
 4. Nosema necatrix Kramer, 1965, J. Invertebr. Pathol., 7, 117, Figs. 1-21. Nordin & Maddox, 1972 S. I. P. (Soc. Invertebr. Pathol.) Newsl., 4, 20. Fowler & Reeves, 1974, J. Invertebr. Pathol., 23, 3. Fowler & Reeves, 1974, J. Protozool., 21, 538, Fig.l. Nordin & Maddox, 1974, J. Invertebr. Pathol., 24, 5. Fowler & Reeves, 1975, ibid., 26, 1, Figs. 1-6
 5. Thelohania diazoma Kramer, 1965, J. Invertebr. Pathol., 7, 117, Figs. 1-21. Fowler & Reeves, 1974, ibid., 23, 63. Fowler & Reeves, 1974, J. Protozool., 21, 538."
,"Microsporidium niphargi",1924,"Niphargus stygius",,,,,,8.5,2,17.80235837,,"France (vicinity of Paris).",,,,,,,,,,,"1. Mrazekia niphargi Poisson, 1924, C. R. Acad. Sci., 178, 666, Figs. 16, 17. Jirovec, 1937, Vestn. Cesk. Spol. Zool., 4, 63
 2. Bacillidium niphargi (Poisson, 1924) Jirovec, 1936, Arch.Protistenkd., 87, 318. Poisson, 1953, in ""Traite de Zoologie"" (P. P. Grasse,ed.), 1(2), 1068."
,"Microsporidium novacastriensis",1985,"Deroceras reticulatum",,,,,,3.5,2.08,7.9285421,,,,55,45,50,42.47433268,2022-04-09,6.5,,,,"Jones, Andrew A., and Brian J. Selman. “Microsporidium Novacastriensis n. Sp., a Microsporidian Parasite of the Grey Field Slug, Deroceras Reticulatum 1 , 2.” The Journal of Protozoology 32, no. 4 (November 1985): 581–86. https://doi.org/10.1111/j.1550-7408.1985.tb03081.x."
,"Microsporidium obtusum",1887,"Simocephaus vetulus; Daphnia reticulata; D. pulex; D. magna; D. longispina",,,,"hemolymph","horizontal",3.75,2.63,13.58130139,,"France; Czechoslovakia (Lnare).",,30,20,25,,,,,,,"1. Microsporidia obtusa Moniez, 1887, C. R. Acad. Sci., 104, 185
 2. Microsporidia (Nosema) obtusa Moniez, 1887, ibid., 1314
 3. Plistophora obtusa (Moniez, 1887) Labbe [partim], 1899, in ""Das Tierreich"" (0. Butschli, ed.), 5,109. Kudo [partim], 1924, Ill. BioI. Monogr., 912/3), 167. Jirovec, 1937, Zool. Anz., 118, 307, Fig. 1. Weiser [partim], 1947, Acta Soc. Sci. Nat. Moravicae, 18, 22."
,"Microsporidium oligochaetae",1983,"Fridericia ratzeli",,,,,,2.65,1.75,4.249331313,"oval","Germany",,,,,,,,,,,"Purrini, Von Kurtesh. “Microsporidium enchytreidorum n. sp. and Microsporidium oligochaetae n. sp. (Microsporida: Phylum Microspora) zwei neue Mikrosporidien-Arten in den Vesiculae seminales bei Enchytreiden (Oligoechaeta: Annelida).” Archiv für Protistenkunde 127, no. 2 (January 1983): 151–58. https://doi.org/10.1016/S0003-9365(83)80031-1."
,"Microsporidium orthocladii",1968,"Orthocladius lignicola",,,"larva","fat body","horizontal",5,1.8,8.482300165,,"France (near Montpellier).",2,,,,,,,,,,"Nosema orthocladii C-M. & M., 1968, Bull. Soc. Zool. Fr., 93, 127, Pls. 1, 2, Figs. 1, 2. Fenwick, 1972, Thesis, Acad. Montpellier, Fig. 58."
,"Microsporidium ovatum",1887,"Simocephalus vetulus; Chydorus sphaericus",,,,,,3,,,"oval","France",,,,,,,,,,,"1. Microsporidia ovata Moniez, 1887, C. R. Acad. Sci., 104, 185
 2. Microsporidia (Nosema) ovata Moniez, 1887, ibid., 1314
 3. Plistophora obtusa (Moniez, 1887) Labbe [partim], 1899, in ""Das Tierreich"" (0. Biitschli, ed.), 2, 109. Kudo [partim] , 1924, Ill. Biol. Monogr., 9(2/3),167. Weiser [partim] , 1947, Acta Soc. Sci. Nat. Moravicae, 18, 22."
,"Microsporidium pagri",1998,"Sparus pagrus pagrus",,,,"liver","horizontal","3.1 ± 0.31",1.8,5.259026102,"ovoid","Senegal",1,,,,36.75663405,"6 - 7",6.5,,,,"Faye N, Toguebaye BS, Boiux G. On the occurrence of microsporidian infections in the liver of four Sparid fishes species from Senegal. Bull Eur Assoc Fish Pathol. 1998;18:84–6."
,"Microsporidium peponoides",1964,"The big-mouthed sleeper",,,,"subcutaneous connective tissue","horizontal",3.8,2.15,9.197274293,,"U.S.S.R. (Amur River basin).",,,,,,,,,,,"Plistophora peponoides Schulman, 1962, in ""Key to Parasites of Freshwater Fish of the U.S.S.R."" (E. N. Pavlovskii, ed.), No. 80, 135, Fig. 305."
,"Microsporidium phoronidi",2018,"Phoronis embryolab",,,,"Vasoperitoneal tissue surrounding embryos","vertical","2.5 (fresh)","1.4 (fresh)","2.56563400043166 (fresh)",,"(Inlet Tihaya Zavod of the Vostok Bay of the Sea of Japan) Russia",1,,,,"39.5840674352314 (fresh)",2022-07-11,9,"KY643695",,,"Temereva EN, Sokolova YY. A Microsporidian Infection in Phoronids (Phylum Phoronida): Microsporidium phoronidi n. sp. from a Phoronis embryolabi. Journal of Eukaryotic Microbiology. Wiley; 2018;65:427–31."
